chr	start	end	motif1.distancePeakMax	motif1.score	motif2.distancePeakMax	motif2.score
chr7	150724993	150725993	-84	88.6	-43	88.3
chr1	33502039	33503039	97	92.1	484	79.2
chr15	83477789	83478789	38	99.8	-41	90.1
chr19	2866743	2867743	-259	95.9	-37	94.2
chr17	74667438	74668438	-163	94.8	51	88.3
chr17	74260631	74261631	211	98.4	-67	97.9
chr7	44887453	44888453	-36	91.7	31	85.9
chr11	105892710	105893710	-137	86.7	235	84.4
chr11	62521182	62522182	-22	86.3	9	85.8
chr6	160182917	160183917	70	98.0	30	95.5
chr5	145582573	145583573	-16	86.8	-402	83.9
chr1	160990510	160991510	193	96.3	-15	94.2
chr11	2720838	2721838	41	94.9	-41	92.7
chr9	139844128	139845128	-49	92.5	-15	85.9
chr19	2041811	2042811	-13	96.8	-157	96.7
chr3	72083834	72084834	94	95.0	66	94.8
chr19	36248340	36249340	136	91.5	-208	90.2
chr19	41769537	41770537	135	99.6	4	92.1
chr22	18484075	18485075	-11	91.4	34	89.0
chr19	12661929	12662929	-82	94.3	-45	92.2
chr19	13905597	13906597	-66	95.0	62	89.9
chr9	101049393	101050393	-39	100.0	-3	88.3
chr22	35695732	35696732	6	86.0	-79	81.9
chr8	144973617	144974617	34	95.9	227	81.4
chr20	37554487	37555487	-22	95.5	9	86.5
chr19	12847338	12848338	193	91.6	-65	88.8
chr21	34914736	34915736	60	94.5	13	90.4
chr6	43142024	43143024	-57	96.8	-14	87.9
chr1	197115345	197116345	43	95.0	-22	90.3
chr10	101190025	101191025	-37	90.7	15	89.2
chr1	151762611	151763611	65	93.5	-52	89.3
chr9	139780273	139781273	-14	95.1	22	86.7
chr6	41040356	41041356	-68	95.2	22	92.0
chr11	69196727	69197727	15	91.5	-20	77.5
chr16	74729447	74730447	-19	86.6	57	85.7
chr21	30396802	30397802	-18	96.2	-53	94.8
chr12	131835865	131836865	-57	99.6	82	96.8
chrX	49125180	49126180	-42	93.5	124	93.5
chr5	139079268	139080268	9	92.6	-27	88.3
chr12	51632526	51633526	-9	87.6	-206	86.6
chr7	137686636	137687636	10	89.8	-227	89.8
chr14	23754958	23755958	-18	90.1	-67	90.1
chr7	77427440	77428440	78	88.4	3	84.2
chr10	4867821	4868821	-101	97.8	-34	96.4
chr19	4153078	4154078	-12	91.9	-492	80.7
chr19	14116845	14117845	-139	86.0	-161	85.4
chr1	151254093	151255093	-47	93.2	-6	90.8
chr19	18314680	18315680	-41	97.9	-76	86.1
chr7	30544099	30545099	-103	96.0	-63	92.8
chr19	14228236	14229236	25	94.7	-136	93.7
chr1	10269953	10270953	51	92.6	20	92.0
chr2	97523389	97524389	-16	90.7	-330	85.1
chr2	27008213	27009213	83	94.3	132	87.4
chr9	130158641	130159641	-70	94.9	-12	94.2
chr14	23790124	23791124	-341	93.4	-266	89.9
chr20	48951352	48952352	-186	82.8	17	79.8
chr1	150208132	150209132	-16	87.3	16	83.1
chr15	49102991	49103991	-2	89.3	16	83.3
chr4	166248247	166249247	1	89.9	-109	89.3
chr2	64978026	64979026	-12	92.8	-55	87.4
chr16	53536930	53537930	44	82.9	193	82.7
chr19	7894336	7895336	-241	90.2	-99	84.2
chr3	37034411	37035411	-194	94.4	70	92.3
chr5	64858563	64859563	-50	89.0	-23	87.8
chr5	70882088	70883088	461	94.0	19	92.0
chr19	46148469	46149469	-43	92.7	-12	85.4
chr1	221915084	221916084	-75	93.9	91	92.5
chr12	110539809	110540809	-31	96.2	5	86.3
chr7	129073702	129074702	-28	89.3	13	84.8
chr16	77224210	77225210	40	90.5	82	87.7
chr5	176778440	176779440	2	95.1	-144	83.3
chrX	151998849	151999849	1	91.9	150	90.1
chr17	73775499	73776499	134	95.7	51	95.5
chr9	34989046	34990046	79	90.5	-25	90.2
chr12	114211057	114212057	-50	93.1	-15	89.1
chr17	61627127	61628127	91	89.9	-27	89.8
chr2	62932246	62933246	-160	96.5	59	91.2
chr4	52708704	52709704	66	90.5	-43	87.0
chr9	134248445	134249445	-63	98.1	-49	88.3
chr22	21010847	21011847	2	96.3	88	96.3
chr8	11659557	11660557	64	98.0	28	91.9
chr11	66405467	66406467	86	94.0	-31	92.3
chr19	54663170	54664170	-185	93.4	46	92.7
chr22	22005861	22006861	61	97.2	-24	96.6
chr15	98418803	98419803	169	93.0	193	91.6
chr12	113658518	113659518	150	99.3	-48	97.7
chr11	118965926	118966926	-100	96.5	-186	93.3
chr1	202830305	202831305	-76	90.2	13	88.4
chr16	84299689	84300689	-12	92.8	35	84.6
chr16	68414973	68415973	252	96.8	-12	92.9
chr12	109535382	109536382	-78	96.9	-6	96.2
chr6	153303773	153304773	-30	90.5	0	86.8
chr17	80415950	80416950	92	98.5	-24	93.9
chr4	52648	53648	-12	93.2	16	88.8
chr22	19466856	19467856	46	94.9	-12	92.4
chr1	246151489	246152489	112	98.2	41	94.9
chr14	73924842	73925842	12	94.8	119	87.8
chr19	17377435	17378435	142	92.1	-59	88.3
chr16	16001541	16002541	15	92.2	52	89.0
chr11	64140078	64141078	-7	94.7	34	88.4
chr12	92028160	92029160	-19	94.7	-90	90.7
chr2	47629692	47630692	-29	90.0	22	87.8
chr7	99698583	99699583	-13	93.5	31	91.6
chr13	26795531	26796531	15	96.1	-25	92.9
chr10	99051914	99052914	30	88.9	137	88.5
chr5	68462406	68463406	-13	90.8	19	90.5
chr15	43212580	43213580	6	90.0	38	84.1
chr1	156182238	156183238	9	94.4	-20	87.2
chr1	1334301	1335301	-22	87.1	19	84.3
chr1	6052135	6053135	-76	96.8	52	96.4
chr11	47788630	47789630	-13	91.0	-48	88.0
chr3	39425306	39426306	15	86.1	47	82.5
chr20	49115578	49116578	16	88.9	177	78.6
chr5	176852852	176853852	257	92.5	-57	89.0
chr1	154955180	154956180	49	84.3	14	78.9
chr6	136571100	136572100	-61	94.7	18	94.1
chr17	43138418	43139418	20	95.1	-271	90.0
chr19	3035226	3036226	-5	94.5	51	93.6
chr7	139044794	139045794	-77	94.6	-32	87.5
chr16	4852470	4853470	19	94.1	-227	92.6
chr17	45726680	45727680	-101	91.8	-240	89.5
chr20	32307640	32308640	146	95.6	105	94.3
chr11	13689637	13690637	70	95.4	-153	92.2
chr3	148803888	148804888	6	85.9	-25	82.4
chr20	40292908	40293908	13	95.1	-295	81.0
chr12	49716405	49717405	-23	93.4	119	92.4
chr22	43410807	43411807	-99	89.5	-49	89.1
chr19	40727569	40728569	29	94.8	-35	93.6
chr11	66056178	66057178	-45	89.1	-3	87.6
chr6	147523153	147524153	52	88.2	-117	82.5
chr21	47743352	47744352	-27	96.1	138	91.9
chr15	69112889	69113889	-92	91.8	-29	90.7
chr20	3869413	3870413	-17	95.3	-129	86.3
chr19	45430009	45431009	18	87.1	210	79.5
chr1	44115198	44116198	53	97.0	354	94.0
chr1	153939776	153940776	-25	88.8	-102	88.6
chr9	135905423	135906423	148	98.3	109	96.8
chr6	31125733	31126733	32	95.7	-41	85.9
chr12	122101414	122102414	53	90.2	-16	89.5
chr11	17297702	17298702	11	95.2	-21	92.5
chr20	45322887	45323887	15	91.7	-370	81.1
chr3	100210884	100211884	-13	96.5	18	87.2
chr19	14529731	14530731	92	88.2	15	86.1
chr12	124593979	124594979	-9	95.8	-205	83.5
chr17	46125106	46126106	-1	92.2	-122	90.5
chr5	149789790	149790790	-12	88.3	194	80.9
chr11	46867363	46868363	29	88.7	-4	83.7
chr5	176543475	176544475	16	96.9	49	91.2
chr19	755909	756909	145	99.6	180	95.7
chr12	104323534	104324534	-37	96.0	16	92.1
chr7	64838195	64839195	-11	93.7	18	91.2
chr19	1507381	1508381	30	97.8	-12	95.7
chr19	18132619	18133619	-13	91.3	56	86.5
chr19	17419836	17420836	-94	92.2	-64	91.6
chr11	129684149	129685149	42	95.0	90	95.0
chr2	10262331	10263331	-85	95.2	-55	94.0
chr16	30621301	30622301	-5	92.5	169	91.5
chr19	19779095	19780095	-14	91.9	-43	90.8
chr17	17875393	17876393	-76	89.7	-24	89.5
chr1	12079025	12080025	-176	96.3	3	91.9
chr1	202975929	202976929	17	88.9	-391	82.3
chr1	35658389	35659389	-7	90.8	48	87.4
chr19	50096272	50097272	63	96.6	394	94.8
chr2	232645590	232646590	-54	88.2	153	87.5
chr9	128003317	128004317	-98	91.6	56	90.4
chr7	64254233	64255233	-11	93.9	18	89.7
chr6	27114266	27115266	26	91.1	55	90.9
chr1	27816193	27817193	15	96.2	57	87.9
chr19	48693311	48694311	16	91.3	-183	86.8
chrX	48957758	48958758	-10	98.0	-42	95.8
chr20	3668027	3669027	-14	96.9	343	81.0
chr7	152887273	152888273	-12	88.0	34	79.0
chr14	105956957	105957957	195	89.6	61	87.6
chr12	123868139	123869139	1	88.8	-190	82.5
chr7	99069878	99070878	15	91.5	-14	91.4
chr14	81999871	82000871	-45	89.6	-98	89.4
chr3	121468214	121469214	-80	96.0	1	88.0
chr17	48944389	48945389	-14	92.9	18	89.3
chr11	45599552	45600552	16	93.7	-473	81.3
chr19	51262834	51263834	-10	89.5	84	79.5
chr15	41575603	41576603	-64	82.7	32	81.5
chr19	55677600	55678600	-52	96.7	-11	96.5
chr7	134331029	134332029	-98	94.8	5	82.8
chr11	31530737	31531737	-49	96.5	-17	87.2
chr6	160210963	160211963	-12	85.5	-47	84.4
chr7	128378835	128379835	14	90.1	-59	88.1
chr5	179125369	179126369	-14	87.6	-87	82.3
chr12	121789805	121790805	-16	97.7	-207	87.9
chr20	36856559	36857559	-27	97.8	55	89.8
chr19	58789737	58790737	43	96.9	-45	96.8
chr19	51275390	51276390	-12	90.0	180	80.4
chr16	46722762	46723762	207	93.1	-47	89.7
chr2	24269855	24270855	71	91.8	-8	86.9
chr1	109968635	109969635	-13	94.1	16	85.3
chr1	46598283	46599283	7	96.2	-89	94.3
chr11	75525701	75526701	12	93.8	-373	84.2
chr1	10458545	10459545	11	92.3	-27	82.2
chr10	104677490	104678490	17	96.2	253	90.7
chr19	19248864	19249864	-14	93.6	-56	91.6
chr11	560442	561442	-79	93.9	2	93.7
chr19	6737166	6738166	34	96.5	-16	91.5
chr12	21654104	21655104	-9	96.1	16	91.2
chrX	48814876	48815876	-10	94.9	357	92.5
chr11	68227574	68228574	-25	96.6	79	92.5
chr9	131940156	131941156	15	96.2	-49	89.9
chr22	38053871	38054871	20	99.8	282	93.5
chr1	28240629	28241629	172	97.8	-3	93.5
chr14	54863084	54864084	-64	94.6	60	94.4
chr1	200589384	200590384	15	98.0	-49	77.5
chr9	94676474	94677474	-7	94.5	28	87.1
chr12	108908348	108909348	55	92.5	16	92.4
chr1	43311621	43312621	73	91.0	27	83.2
chrX	47415142	47416142	-53	95.0	53	84.5
chr2	46770842	46771842	-18	90.4	-90	89.7
chr8	41386178	41387178	17	92.1	-205	85.0
chr3	195163484	195164484	-57	95.5	-129	83.5
chr19	1790449	1791449	50	92.4	-22	91.9
chr19	41155876	41156876	-66	92.7	-30	87.3
chr4	2263624	2264624	18	96.4	83	95.0
chr1	145437875	145438875	13	95.5	-23	93.6
chr16	3314171	3315171	-108	90.5	-39	88.9
chr6	166999959	167000959	-8	88.8	144	80.5
chr12	131648353	131649353	69	96.5	-87	93.3
chr17	46018340	46019340	-54	90.5	6	89.8
chr14	104181426	104182426	-73	90.5	144	87.8
chr6	16265453	16266453	12	94.7	-37	90.7
chr2	172967216	172968216	-12	96.8	448	89.5
chr1	19162852	19163852	-49	94.8	18	93.4
chr9	101088314	101089314	-7	93.0	-400	87.4
chr16	88729143	88730143	-25	96.7	14	91.6
chr12	131900057	131901057	-13	94.6	417	85.5
chrX	48595188	48596188	38	96.2	-63	92.4
chr17	79980454	79981454	153	97.0	-164	95.5
chr3	9013962	9014962	11	96.5	-24	84.9
chr1	27338909	27339909	89	97.8	175	94.9
chr12	131727136	131728136	15	94.3	250	77.9
chr19	3343825	3344825	31	98.1	-29	91.2
chr14	21904943	21905943	20	90.2	39	76.1
chr15	91834579	91835579	17	94.3	55	80.5
chr16	18812482	18813482	-36	92.7	88	90.8
chr19	55972738	55973738	-121	91.8	-50	89.9
chr7	151216513	151217513	243	94.2	17	93.0
chr17	46969607	46970607	23	95.5	-3	93.0
chr19	49164037	49165037	-244	94.8	304	92.2
chr11	107798403	107799403	-3	94.5	93	80.8
chr5	31531836	31532836	-50	89.0	38	85.3
chr17	79296281	79297281	63	96.6	10	93.3
chr2	242089334	242090334	26	97.7	-7	89.0
chr20	60813007	60814007	-26	92.5	-148	84.2
chr7	127291661	127292661	-18	89.3	15	86.5
chr19	3572198	3573198	102	91.6	8	91.2
chr16	87008692	87009692	-12	96.5	-25	85.8
chr13	101326734	101327734	16	90.4	-37	87.6
chr19	41082241	41083241	-10	89.7	-41	86.0
chr16	78829812	78830812	17	96.5	-213	81.1
chr7	23053341	23054341	16	92.2	-55	84.4
chr20	30310961	30311961	-13	96.7	34	87.1
chr12	54718287	54719287	107	95.1	45	86.1
chr6	28833208	28834208	19	94.7	67	92.7
chr19	36545192	36546192	47	94.4	15	89.1
chr7	915975	916975	17	95.4	47	88.2
chr17	26645624	26646624	20	93.4	-93	91.3
chr14	20929379	20930379	145	94.1	85	93.1
chr14	74550678	74551678	237	97.7	44	91.7
chr1	184723599	184724599	-15	85.0	34	84.7
chr3	88107806	88108806	-12	82.2	-31	81.7
chr7	53879167	53880167	-12	89.4	36	81.0
chr1	22754822	22755822	10	91.7	-426	85.8
chr9	128172164	128173164	39	99.3	3	92.5
chrX	102941237	102942237	-33	95.9	143	91.0
chr10	14995644	14996644	-5	93.5	-31	85.8
chr2	20251030	20252030	-42	91.7	-5	90.0
chr19	33462557	33463557	-109	98.0	-6	93.9
chr19	40950194	40951194	-369	93.0	-402	92.8
chr22	35795584	35796584	2	94.0	-81	88.1
chr19	30369607	30370607	51	96.3	-21	95.2
chr19	40931316	40932316	-24	98.0	7	93.1
chr6	112194252	112195252	-25	80.9	261	79.4
chr20	44485624	44486624	-30	91.3	369	79.3
chr12	122501638	122502638	-18	90.8	384	90.0
chr1	171750290	171751290	-70	92.9	-39	86.8
chr17	7307033	7308033	-399	92.1	-71	87.8
chr21	40337699	40338699	-18	92.4	-332	81.2
chr1	212458029	212459029	59	92.4	-266	92.3
chr3	33481982	33482982	-256	91.3	-10	91.1
chr11	17725219	17726219	-75	93.3	12	90.9
chr7	132937220	132938220	55	86.2	13	82.1
chr19	46087210	46088210	81	91.7	48	83.9
chr14	97129592	97130592	-13	98.4	-77	80.1
chr2	64067541	64068541	-12	95.0	-200	85.0
chr19	19495960	19496960	87	91.4	-87	84.8
chr5	150137747	150138747	-53	95.9	71	90.1
chr17	21225940	21226940	12	84.0	339	79.3
chr1	117664265	117665265	16	90.9	-349	86.4
chr17	27186944	27187944	16	94.6	394	86.2
chr16	4896867	4897867	435	87.8	50	85.6
chr1	109940162	109941162	22	95.1	83	92.0
chr1	54979524	54980524	51	94.8	-18	93.4
chr19	45417920	45418920	23	87.1	-417	78.6
chr5	159546081	159547081	65	98.1	-1	90.7
chr22	42342306	42343306	-8	95.0	69	88.5
chr2	43863842	43864842	15	95.1	-291	90.0
chr11	65382458	65383458	-330	88.7	60	82.5
chr12	49259218	49260218	-18	94.4	-433	83.8
chr16	66913901	66914901	-8	87.7	-56	84.4
chr19	46430663	46431663	-12	89.5	-241	80.2
chr7	6048360	6049360	-4	98.2	-127	95.5
chr15	64673249	64674249	-28	92.3	-1	83.1
chr6	53213345	53214345	-30	96.2	24	89.6
chr19	14062636	14063636	124	90.4	35	84.5
chr22	29137431	29138431	75	98.2	-84	95.7
chr11	94963987	94964987	-11	95.3	27	94.7
chr2	85822288	85823288	5	99.6	-74	95.6
chr19	51182312	51183312	-13	97.0	-49	87.0
chr11	125462182	125463182	10	87.7	27	86.7
chr13	73301496	73302496	-29	91.4	35	87.7
chr20	44509282	44510282	-30	88.8	-485	82.4
chr2	74425155	74426155	16	87.6	493	85.5
chr7	65392108	65393108	25	96.7	-172	86.6
chr7	12726638	12727638	38	91.1	-12	85.2
chr7	100209207	100210207	-29	94.8	59	94.8
chr12	113622313	113623313	7	97.1	-39	88.9
chr12	53472781	53473781	-11	94.9	-51	94.7
chr12	120933336	120934336	-36	89.9	-5	86.9
chr2	169746510	169747510	-16	99.4	16	81.1
chr6	26031910	26032910	11	86.4	309	81.0
chr19	49403022	49404022	-13	93.2	-143	74.9
chr16	27094986	27095986	-66	94.8	-30	93.2
chr19	50252354	50253354	-14	90.7	-79	85.6
chr2	232046997	232047997	46	96.7	11	85.5
chr19	4401898	4402898	54	95.2	29	86.7
chr17	1531212	1532212	481	98.2	27	97.2
chr3	126422498	126423498	38	90.7	14	87.5
chr5	96143615	96144615	2	87.2	326	78.8
chr9	130648267	130649267	-3	98.0	-37	98.0
chr1	206736006	206737006	-7	88.7	-182	83.5
chr10	80782020	80783020	-37	92.5	-2	84.2
chr6	31707184	31708184	-49	94.9	-152	87.8
chr10	58120592	58121592	-8	89.3	42	87.6
chr10	102790449	102791449	16	97.2	-132	74.9
chr10	102240961	102241961	11	86.0	136	84.6
chr1	47779406	47780406	50	96.7	279	88.9
chr12	113805844	113806844	12	94.3	78	85.5
chr13	111364996	111365996	16	85.4	47	80.8
chr16	89556705	89557705	-175	94.1	-149	90.1
chr12	50505086	50506086	13	85.2	472	78.9
chr17	47269818	47270818	-10	93.6	91	88.1
chr17	79448043	79449043	26	97.0	60	95.1
chr12	58138265	58139265	-83	88.9	20	82.6
chr10	73895607	73896607	216	96.4	202	96.3
chr1	8938325	8939325	15	79.7	-179	79.3
chr3	51422110	51423110	-44	96.8	8	91.5
chr3	197268430	197269430	-4	90.2	368	81.9
chr4	1513078	1514078	-73	92.6	-141	90.3
chr5	149339724	149340724	-17	90.8	40	84.4
chr1	55229896	55230896	-21	94.2	-57	84.8
chr6	40131824	40132824	13	94.1	81	85.7
chrX	1780150	1781150	-7	94.7	-132	94.7
chr17	36874550	36875550	17	82.0	-115	81.6
chr12	49075594	49076594	-17	91.8	15	91.0
chr19	6110209	6111209	74	91.7	6	87.0
chr1	11322237	11323237	-96	86.6	-482	85.8
chr19	39801286	39802286	13	91.8	54	89.5
chr7	39772480	39773480	-301	80.4	17	80.3
chr19	5407101	5408101	-5	92.9	-205	80.0
chrX	47420037	47421037	-14	86.7	438	85.8
chr17	38443573	38444573	11	96.8	-66	95.8
chr7	72936178	72937178	17	89.1	-17	83.2
chr1	28573363	28574363	61	97.0	-110	90.0
chr9	86594681	86595681	5	87.3	46	86.4
chr6	26199158	26200158	-71	93.6	13	87.8
chr14	55657876	55658876	-53	90.6	12	89.7
chr1	23670468	23671468	21	93.4	-4	85.4
chr10	1094424	1095424	251	91.1	30	90.4
chr3	42845534	42846534	-9	100.0	65	87.9
chr17	55740067	55741067	11	88.0	-234	86.4
chr9	140094880	140095880	-25	89.4	17	86.7
chr1	247170921	247171921	-10	90.8	19	85.9
chr7	66093309	66094309	1	92.0	-112	89.2
chr8	42009843	42010843	187	98.4	48	91.9
chr16	74700369	74701369	43	98.8	-40	90.5
chr7	66767103	66768103	-12	98.2	-135	95.5
chr19	46498100	46499100	78	95.9	-22	91.1
chr19	52692510	52693510	-10	96.5	130	91.4
chr16	1727741	1728741	-10	88.4	-165	86.9
chr19	15947444	15948444	446	97.4	-9	94.0
chr6	159495033	159496033	249	84.3	-67	83.5
chr19	1103389	1104389	1	96.9	45	95.2
chr15	65341345	65342345	16	94.3	-47	80.8
chr17	72869046	72870046	2	93.8	-119	83.2
chr12	57039348	57040348	105	88.1	66	86.4
chr13	20532289	20533289	18	97.0	-26	92.4
chr8	9412861	9413861	16	95.0	-34	84.9
chr12	121907043	121908043	13	93.8	431	86.7
chr1	225615389	225616389	-21	94.0	19	89.3
chr7	1457811	1458811	25	84.7	-36	84.7
chr1	214776019	214777019	-72	92.1	-11	89.0
chr16	57569485	57570485	49	99.6	8	86.2
chr19	16222172	16223172	-172	97.2	-47	90.8
chr19	36353253	36354253	17	89.5	-24	89.2
chr9	96792509	96793509	23	91.0	-143	81.9
chr17	36908461	36909461	23	92.5	-19	86.5
chr9	73028813	73029813	50	95.8	-393	91.5
chr3	42543492	42544492	51	88.4	-10	81.4
chr7	127903192	127904192	20	98.0	-49	92.3
chr9	35814615	35815615	58	94.8	436	91.2
chr16	50058560	50059560	16	88.9	-25	87.3
chr7	38217195	38218195	58	87.1	94	80.1
chr3	182816911	182817911	22	84.6	-13	83.9
chr6	52528607	52529607	0	92.1	43	90.0
chr10	42863018	42864018	2	89.9	-27	84.5
chr20	56004395	56005395	-20	83.5	-196	83.1
chr1	31250948	31251948	32	96.3	5	89.9
chr2	74684830	74685830	-30	95.2	182	92.6
chrX	48534339	48535339	69	98.0	-12	93.7
chr7	148725370	148726370	-54	98.0	-199	90.0
chr15	90894949	90895949	6	84.3	-35	82.0
chr1	31231320	31232320	131	87.7	97	85.7
chr19	39389989	39390989	17	97.9	69	86.4
chr10	111970566	111971566	-14	96.3	-340	80.4
chr8	103667561	103668561	-31	94.6	1	93.4
chr17	80056207	80057207	-14	89.6	17	84.6
chr1	9488626	9489626	-430	77.0	324	76.9
chr7	43011870	43012870	14	86.8	-200	85.3
chr15	65117422	65118422	0	90.5	-32	89.1
chr15	75745964	75746964	-26	94.0	111	84.3
